ID,BCS_stage,Year,Parity,Age_at_first_mating,Litter_size,BCS
21316,BCS-W,2005,2,2,3,2.3
21316,BCS-Wp,2005,2,2,3,
21321,BCS-W,2004,2,1,2,2.5
21321,BCS-Wp,2004,2,1,2,
21339,BCS-Sb,2005,3,1,3,
21339,BCS-W,2005,3,1,3,2.4
21339,BCS-Wp,2005,3,1,3,
21342,BCS-W,2005,2,2,4,2.3
21342,BCS-Wp,2005,2,2,4,
21351,BCS-Sb,2005,3,1,3,
21351,BCS-W,2005,3,1,3,2.3
21351,BCS-Wp,2005,3,1,3,
21352,BCS-Sb,2005,3,1,4,
21352,BCS-W,2005,3,1,4,2.3
21352,BCS-Wp,2005,3,1,4,2.3
21357,BCS-Wp,2003,1,1,2,2.3
21360,BCS-Sb,2005,3,1,4,
21360,BCS-W,2005,3,1,4,2.6
21360,BCS-Wp,2005,3,1,4,
21367,BCS-Wp,2003,1,1,2,
21371,BCS-W,2005,3,1,2,2.5
21371,BCS-Wp,2005,3,1,2,
21375,BCS-Wp,2004,2,1,1,3.3
21385,BCS-Sb,2006,3,2,4,
21385,BCS-W,2006,3,2,4,2.3
21385,BCS-Wp,2006,3,2,4,
21389,BCS-W,2005,2,2,2,2.5
21389,BCS-Wp,2005,2,2,2,
21406,BCS-Wp,2003,1,1,1,
21410,BCS-Sb,2005,3,1,3,
21410,BCS-W,2005,3,1,3,2.3
21410,BCS-Wp,2005,3,1,3,2.5
21412,BCS-Sb,2005,3,1,4,
21412,BCS-W,2005,3,1,4,2.3
21412,BCS-Wp,2005,3,1,4,2.5
21416,BCS-Sb,2005,3,1,3,
21416,BCS-W,2005,3,1,3,2.7
21416,BCS-Wp,2005,3,1,3,3.0
21417,BCS-W,2004,2,1,3,2.1
21417,BCS-Wp,2004,2,1,3,
21420,BCS-Wp,2003,1,1,2,
21421,BCS-Sb,2005,3,1,3,2.9
21421,BCS-W,2005,3,1,3,2.3
21421,BCS-Wp,2005,3,1,3,
21430,BCS-W,2005,2,2,3,2.4
21430,BCS-Wp,2005,2,2,3,
21435,BCS-Sb,2005,3,1,4,
21435,BCS-W,2005,3,1,4,2.3
21435,BCS-Wp,2005,3,1,4,2.4
21438,BCS-W,2005,2,2,1,2.8
21438,BCS-Wp,2005,2,2,1,
21440,BCS-Sb,2005,3,1,3,2.8
21440,BCS-W,2005,3,1,3,2.4
21440,BCS-Wp,2005,3,1,3,
21443,BCS-W,2005,2,2,2,2.3
21443,BCS-Wp,2005,2,2,2,
21450,BCS-W,2005,2,2,3,2.4
21450,BCS-Wp,2005,2,2,3,
21454,BCS-Sb,2005,3,1,3,
21454,BCS-W,2005,3,1,3,2.3
21454,BCS-Wp,2005,3,1,3,2.4
21455,BCS-Sb,2005,3,1,3,
21455,BCS-W,2005,3,1,3,2.7
21455,BCS-Wp,2005,3,1,3,2.9
21458,BCS-Sb,2005,3,1,3,2.8
21458,BCS-W,2005,3,1,3,2.8
21458,BCS-Wp,2005,3,1,3,
21460,BCS-W,2004,2,1,4,2.6
21460,BCS-Wp,2004,2,1,4,
21462,BCS-Sb,2006,3,2,3,
21462,BCS-W,2006,3,2,3,2.6
21462,BCS-Wp,2006,3,2,3,
21475,BCS-Sb,2006,3,2,3,
21475,BCS-W,2006,3,2,3,2.4
21475,BCS-Wp,2006,3,2,3,
21477,BCS-Wp,2003,1,1,2,
21483,BCS-W,2005,2,2,2,2.9
21483,BCS-Wp,2005,2,2,2,
21490,BCS-Wp,2003,1,1,2,
21492,BCS-W,2005,2,2,3,2.3
21492,BCS-Wp,2005,2,2,3,
21496,BCS-W,2005,2,2,2,2.5
21496,BCS-Wp,2005,2,2,2,
21498,BCS-Wp,2004,1,2,2,2.6
21500,BCS-Sb,2006,3,2,4,
21500,BCS-W,2006,3,2,4,2.5
21500,BCS-Wp,2006,3,2,4,
21502,BCS-W,2005,3,1,2,2.6
21502,BCS-Wp,2005,3,1,2,
21508,BCS-Sb,2005,3,1,4,
21508,BCS-W,2005,3,1,4,2.5
21508,BCS-Wp,2005,3,1,4,2.9
21510,BCS-W,2005,2,2,4,2.3
21510,BCS-Wp,2005,2,2,4,
21511,BCS-Sb,2006,3,2,3,
21511,BCS-W,2006,3,2,3,2.9
21511,BCS-Wp,2006,3,2,3,2.9
21513,BCS-W,2005,2,2,3,2.5
21513,BCS-Wp,2005,2,2,3,
21516,BCS-Sb,2005,3,1,3,3.0
21516,BCS-W,2005,3,1,3,2.7
21516,BCS-Wp,2005,3,1,3,
21539,BCS-W,2005,2,2,2,2.4
21539,BCS-Wp,2005,2,2,2,
21544,BCS-Sb,2005,3,1,4,
21544,BCS-W,2005,3,1,4,2.3
21544,BCS-Wp,2005,3,1,4,2.4
21545,BCS-Sb,2006,3,2,4,
21545,BCS-W,2006,3,2,4,2.4
21545,BCS-Wp,2006,3,2,4,2.4
21547,BCS-W,2005,2,2,3,2.5
21547,BCS-Wp,2005,2,2,3,
21551,BCS-W,2005,2,2,2,2.3
21551,BCS-Wp,2005,2,2,2,
21559,BCS-W,2005,2,2,3,2.5
21559,BCS-Wp,2005,2,2,3,
31004,BCS-W,2005,2,1,3,2.5
31004,BCS-Wp,2005,2,1,3,
31014,BCS-W,2005,2,1,4,2.2
31014,BCS-Wp,2005,2,1,4,
31067,BCS-W,2005,2,1,4,2.9
31067,BCS-Wp,2005,2,1,4,
31100,BCS-W,2005,2,1,2,2.3
31100,BCS-Wp,2005,2,1,2,
31105,BCS-W,2005,2,1,2,2.3
31105,BCS-Wp,2005,2,1,2,
31108,BCS-Wp,2004,1,1,2,2.6
31162,BCS-W,2005,2,1,1,2.7
31162,BCS-Wp,2005,2,1,1,
31183,BCS-W,2005,2,1,3,2.5
31183,BCS-Wp,2005,2,1,3,
31185,BCS-W,2005,2,1,2,2.4
31185,BCS-Wp,2005,2,1,2,
31205,BCS-W,2005,2,1,1,2.5
31205,BCS-Wp,2005,2,1,1,
31236,BCS-W,2005,2,1,3,2.2
31236,BCS-Wp,2005,2,1,3,
31245,BCS-Wp,2005,2,1,3,
