ID,BCS_stage,Year,Parity,Age_at_first_mating,Litter_size,BCS
41440,BCS-W,2006,2,1,4,2.4
41440,BCS-Wp,2006,2,1,4,
41441,BCS-W,2007,3,1,4,2.6
41441,BCS-Wp,2007,3,1,4,2.7
41444,BCS-W,2006,2,1,4,2.6
41444,BCS-Wp,2006,2,1,4,
41445,BCS-Wp,2006,1,2,3,
41446,BCS-Wp,2006,2,1,3,
41451,BCS-Sb,2007,3,1,4,
41451,BCS-W,2007,3,1,4,2.4
41451,BCS-Wp,2007,3,1,4,2.5
41456,BCS-Sb,2007,3,1,4,
41456,BCS-W,2007,3,1,4,2.2
41456,BCS-Wp,2007,3,1,4,2.4
41461,BCS-Wp,2006,2,1,3,
41464,BCS-W,2006,2,1,4,2.3
41464,BCS-Wp,2006,2,1,4,
41466,BCS-Wp,2006,1,2,4,
41470,BCS-W,2006,2,1,4,2.6
41470,BCS-Wp,2006,2,1,4,
41472,BCS-Sb,2008,3,2,1,
41472,BCS-W,2008,3,2,1,2.4
