ID,kb1,kb2,kb3,kp1,kp2,kp3,DT1,DT2,DT3
21004,0.00283878141371768,0.0031817514020476,0.00345411203056155,0.00609949230707941,0.00652972788522437,0.0062884846997760795,248.0,137.0,171.0
21007,0.0047741948547726796,0.004313162449527071,0.00391735344919456,0.00464787886204243,0.0025791434630327396,0.0041115275757339,285.0,160.0,154.0
21009,0.0025798538419631897,0.0039581857449461,0.00139823796373248,0.00564852312810691,0.00613682181371017,0.0058338499759590795,313.0,112.0,196.0
21019,0.00332613367438001,0.00287935675821533,0.0021910276789832103,0.00488225270487117,0.00641280596152492,0.00628737884668668,247.0,148.0,137.0
21026,0.0035200059295262,0.00419540112773481,0.00271178687124883,0.00473139665530505,0.005951482535850421,0.00515411296772178,247.0,114.0,189.0
21034,0.00172852735690131,0.00273379596366128,0.00433851136481719,0.0048209476967269,0.005099022316336579,0.004888246249829671,172.0,89.0,163.0
21036,0.00460125765807678,0.0043025126482088795,0.00261242583592722,0.004881843300259379,0.00255066902688823,0.00351344099004287,237.0,259.0,242.0
21040,0.00245716673209755,0.00250572424193648,0.00417511815307747,0.0053594328820420105,0.0069942074307732,0.00779873150924195,201.0,128.0,187.0
21059,0.00264092893435949,0.00358839033549615,0.0036865694904412204,0.00701579415265591,0.00721161454417454,0.00690896924601098,172.0,117.0,194.0
21081,0.00307625059427442,0.00412207201249586,0.00258769293474398,0.00773264467734938,0.00599098967237917,0.00458594594345653,181.0,150.0,189.0
21094,0.0038643172988581604,0.00317420515124362,0.00393054036119988,0.00676703063995013,0.00644070831444156,0.00565286473252551,230.0,184.0,216.0
21103,0.0034407340722554898,0.00471876305920535,0.00296959475516448,0.0052803398129039605,0.0075627295606909995,0.00541082868303824,226.0,110.0,218.0
21107,0.00268699512493258,0.00297518793140035,0.00497985563962834,0.0052104047326303,0.00579127507542492,0.00382847472957886,299.0,48.0,151.0
21113,0.00330407073083072,0.0036702808192121297,0.00291355507912357,0.0063994016693928795,0.00607664018414313,0.00546525211427699,240.0,183.0,188.0
21121,0.00275050618146053,0.00369507554211625,0.0018597058260507399,0.00391100463636148,0.00319796328342643,0.0034436940755355103,218.0,100.0,218.0
21124,0.00306628633432616,0.00253263360222537,0.00435922927870929,0.00553409909671315,0.0060108794457768,0.005596955228085371,217.0,130.0,152.0
21126,0.00330343984051934,0.00353650009390809,0.0023438545767502303,0.00466582637602534,0.00500733431053449,0.00376693248872689,181.0,115.0,246.0
21135,0.00561572039080737,0.00571395882471425,0.0024021035434281,0.00529887177620435,0.0068138585206485,0.00540347973326817,284.0,151.0,130.0
21137,0.00345150897112902,0.00542444760956227,0.0036022942226472897,0.00998855451787432,0.00728501110279477,0.0050708632682158,121.0,119.0,218.0
