,kb1,kb2,kb3,kp1,kp2,kp3,DT1,DT2,DT3
kb1,1.0,0.331244262105563,0.036997202247260705,0.4106919797920672,0.3117167640613544,-0.25277934462170476,0.029204088535132424,0.20279732615641166,0.03243028399508007
kb2,0.331244262105563,1.0,-0.094134731938764,0.38786200493007306,0.3025848719088571,-0.16682607866160798,-0.06592606661400725,0.20258242331421675,0.26575302369125986
kb3,0.036997202247260705,-0.094134731938764,1.0,-0.02691413576195247,0.07390177178668465,-0.13183939767473216,-0.12023509732906472,-0.1127236222119512,0.07346045550366172
kp1,0.4106919797920672,0.38786200493007306,-0.02691413576195247,1.0,0.6334342683749817,0.471826792407268,-0.20924938380150243,0.174908615070186,0.04156948410940455
kp2,0.3117167640613544,0.3025848719088571,0.07390177178668465,0.6334342683749817,1.0,0.506625579478828,-0.11782857939443497,0.025386962349345205,-0.021355607218822566
kp3,-0.25277934462170476,-0.16682607866160798,-0.13183939767473216,0.471826792407268,0.506625579478828,1.0,-0.019101241504247336,-0.055929949652674435,-0.1995813360152894
DT1,0.029204088535132424,-0.06592606661400725,-0.12023509732906472,-0.20924938380150243,-0.11782857939443497,-0.019101241504247336,1.0,-0.09828862528754481,0.02863196761525385
DT2,0.20279732615641166,0.20258242331421675,-0.1127236222119512,0.174908615070186,0.025386962349345205,-0.055929949652674435,-0.09828862528754481,1.0,0.007787599209317296
DT3,0.03243028399508007,0.26575302369125986,0.07346045550366172,0.04156948410940455,-0.021355607218822566,-0.1995813360152894,0.02863196761525385,0.007787599209317296,1.0
