ID,kb1,kb2,kb3,kp1,kp2,kp3,DT1,DT2,DT3
21004,2.83878141371768,3.1817514020476,3.45411203056155,6.0994923070794105,6.5297278852243705,6.288484699776079,248.0,137.0,171.0
21007,4.77419485477268,4.313162449527071,3.91735344919456,4.64787886204243,2.5791434630327394,4.1115275757339,285.0,160.0,154.0
21009,2.57985384196319,3.9581857449460998,1.39823796373248,5.648523128106911,6.13682181371017,5.83384997595908,313.0,112.0,196.0
21019,3.32613367438001,2.87935675821533,2.19102767898321,4.882252704871171,6.41280596152492,6.287378846686679,247.0,148.0,137.0
21026,3.5200059295262,4.19540112773481,2.71178687124883,4.73139665530505,5.95148253585042,5.15411296772178,247.0,114.0,189.0
21034,1.72852735690131,2.73379596366128,4.33851136481719,4.8209476967269,5.099022316336579,4.88824624982967,172.0,89.0,163.0
21036,4.60125765807678,4.30251264820888,2.61242583592722,4.881843300259379,2.55066902688823,3.5134409900428696,237.0,259.0,242.0
21040,2.45716673209755,2.50572424193648,4.17511815307747,5.359432882042011,6.9942074307732,7.79873150924195,201.0,128.0,187.0
21059,2.64092893435949,3.58839033549615,3.6865694904412205,7.01579415265591,7.21161454417454,6.9089692460109795,172.0,117.0,194.0
21081,3.07625059427442,4.1220720124958605,2.58769293474398,7.73264467734938,5.99098967237917,4.58594594345653,181.0,150.0,189.0
21094,3.86431729885816,3.17420515124362,3.9305403611998795,6.767030639950129,6.440708314441561,5.652864732525511,230.0,184.0,216.0
21103,3.4407340722554896,4.71876305920535,2.9695947551644797,5.280339812903961,7.562729560690999,5.41082868303824,226.0,110.0,218.0
21107,2.6869951249325803,2.9751879314003498,4.97985563962834,5.2104047326303,5.79127507542492,3.82847472957886,299.0,48.0,151.0
21113,3.30407073083072,3.6702808192121297,2.91355507912357,6.39940166939288,6.07664018414313,5.46525211427699,240.0,183.0,188.0
21121,2.75050618146053,3.69507554211625,1.85970582605074,3.91100463636148,3.19796328342643,3.44369407553551,218.0,100.0,218.0
21124,3.0662863343261604,2.53263360222537,4.35922927870929,5.534099096713151,6.0108794457768004,5.5969552280853705,217.0,130.0,152.0
21126,3.30343984051934,3.53650009390809,2.34385457675023,4.66582637602534,5.00733431053449,3.76693248872689,181.0,115.0,246.0
21135,5.61572039080737,5.71395882471425,2.4021035434280997,5.29887177620435,6.8138585206485,5.4034797332681705,284.0,151.0,130.0
21137,3.45150897112902,5.42444760956227,3.6022942226472896,9.98855451787432,7.28501110279477,5.070863268215801,121.0,119.0,218.0
21141,3.3616985287018197,4.8759416306051495,1.1982730732084,5.833727214535361,2.48197990633082,4.60644874490054,201.0,101.0,182.0
21158,3.21623275662123,4.080789147130189,2.69172945259188,6.62873504343723,5.28472875227066,5.38539380166032,213.0,136.0,158.0
