"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
21219,60,3,749,970,2.92699385446668
21220,61,1,0,183,3.19356788917855
21220,61,2,455,579,2.67888522544054
21220,61,3,752,1030,2.70448129029826
21224,62,1,29,208,2.93322977680787
21224,62,2,NA,NA,0
21224,62,3,720,897,2.84522949101189
21225,63,1,91,237,3.00760976597784
21225,63,2,396,529,2.8776675437899
21225,63,3,NA,NA,0
21226,64,1,15,304,2.97376430482179
21226,64,2,453,574,2.81738433031046
21226,64,3,720,896,2.63588991068484
21228,65,1,15,223,2.73220460525009
21228,65,2,NA,NA,0
21228,65,3,NA,NA,0
21238,66,1,79,222,3.09961204302219
21238,66,2,384,535,3.0907771698517
21238,66,3,NA,NA,0
21240,67,1,0,259,3.00401471159885
21240,67,2,380,670,2.5220207612193
21240,67,3,NA,NA,0
21243,68,1,83,239,2.7349023855868
21243,68,2,448,609,2.79087424761337
21243,68,3,748,930,2.75236353105772
21248,69,1,0,209,2.8915643447746
21248,69,2,449,610,2.61216047643709
21248,69,3,786,970,2.78940603425919
21256,70,1,18,236,2.82342727467661
21256,70,2,412,611,2.6975944095289
21256,70,3,783,944,2.77525351014053
21262,71,1,19,272,2.93375538547438
21262,71,2,NA,NA,0
21262,71,3,NA,NA,0
21274,72,1,0,180,2.98972608288212
21274,72,2,440,561,2.55510574647997
21274,72,3,743,899,2.7278848381874
21275,73,1,21,181,2.90700583591711
21275,73,2,438,573,2.7873232959477
21275,73,3,819,970,2.89626235345496
21281,74,1,22,306,3.0159786561648
21281,74,2,445,564,2.65326131418112
21281,74,3,835,961,2.92655109888836
21285,75,1,20,166,3.0165853236235
21285,75,2,NA,NA,0
21285,75,3,NA,NA,0
21286,76,1,15,189,3.34755951650123
21286,76,2,437,551,3.07077823322985
21286,76,3,678,1050,3.1576538044181
21289,77,1,15,150,2.85117944462067
21289,77,2,NA,NA,0
21289,77,3,NA,NA,0
21290,78,1,29,291,3.26460295773768
21290,78,2,464,598,3.0701170537536
21290,78,3,761,1030,3.03500395719408
21293,79,1,52,215,3.32482800081045
21293,79,2,408,670,2.67449160035331
21293,79,3,NA,NA,0
21294,80,1,33,200,2.67092030403724
21294,80,2,401,555,2.69108432524314
