"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
21367;"BW-W";"BCS-W";2003;1;1;"2";"250";250;42700;2.5;3.5;2.5
21371;"BW-Sa";"BCS-Sa";2005;3;1;"2";"190";910;NA;2.22175708850329;3.5;NA
21371;"BW-Sb";"BCS-Sb";2005;3;1;"2";"230";950;NA;2.31647863157297;3.5;NA
21375;"BW-W";"BCS-W";2004;2;1;"1";"250";610;54100;3.2;4;3.2
21385;"BW-Pb";"BCS-Pb";2006;3;2;"4";"80";800;66300;2.8;3.5;2.8
21385;"BW-L";"BCS-L";2006;3;2;"4";"160";880;59900;2.6;3.5;2.6
21385;"BW-Sa";"BCS-Sa";2006;3;2;"4";"190";910;57600;2.4;3.5;2.4
21389;"BW-Sa";"BCS-Sa";2005;2;2;"2";"190";550;62100;2.7;3.5;2.7
21389;"BW-Sb";"BCS-Sb";2005;2;2;"2";"230";590;NA;2.67087083292073;3.5;NA
21406;"BW-W";"BCS-W";2003;1;1;"1";"250";250;47900;2.3;3.5;2.3
21410;"BW-Pb";"BCS-Pb";2005;3;1;"3";"80";800;72000;2.9;3.5;2.9
21410;"BW-L";"BCS-L";2005;3;1;"3";"160";880;67200;2.7;3.5;2.7
21410;"BW-Sa";"BCS-Sa";2005;3;1;"3";"190";910;63200;2.3;3.5;2.3
21412;"BW-Pb";"BCS-Pb";2005;3;1;"4";"80";800;73400;2.6;3.5;2.6
21412;"BW-L";"BCS-L";2005;3;1;"4";"160";880;64600;2.5;3.5;2.5
21412;"BW-Sa";"BCS-Sa";2005;3;1;"4";"190";910;64300;2.3;3.5;2.3
21416;"BW-Pb";"BCS-Pb";2005;3;1;"3";"80";800;85000;3.1;4;3.1
21416;"BW-L";"BCS-L";2005;3;1;"3";"160";880;83300;3;4;3
21416;"BW-Sa";"BCS-Sa";2005;3;1;"3";"190";910;89200;3;4;3
21417;"BW-Sa";"BCS-Sa";2004;2;1;"3";"190";550;58100;2.5;4;2.5
21417;"BW-Sb";"BCS-Sb";2004;2;1;"3";"230";590;NA;2.29857506600357;4;NA
21420;"BW-W";"BCS-W";2003;1;1;"2";"250";250;NA;NA;3.5;NA
