"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
41414;"BW-L";"BCS-L";2008;3;2;"3";"160";880;69200;2.6;3.5;2.6
41414;"BW-Sa";"BCS-Sa";2008;3;2;"3";"190";910;63700;2.5;3.5;2.5
41418;"BW-W";"BCS-W";2006;1;2;"3";"250";250;54600;2.6;3.5;2.6
41432;"BW-W";"BCS-W";2006;2;1;"3";"250";610;61800;2.5;3.5;2.5
41434;"BW-Sa";"BCS-Sa";2006;2;1;"3";"190";550;60200;2.4;3.5;2.4
41434;"BW-Sb";"BCS-Sb";2006;2;1;"3";"230";590;NA;2.41175703440912;3.5;NA
41440;"BW-Sa";"BCS-Sa";2006;2;1;"4";"190";550;63300;2.4;3.5;2.4
41440;"BW-Sb";"BCS-Sb";2006;2;1;"4";"230";590;NA;2.29474853133804;3.5;NA
41441;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;59700;2.5;3.5;2.5
41441;"BW-Sb";"BCS-Sb";2007;3;1;"4";"230";950;56500;2.5636090373054;3.5;NA
41444;"BW-Sa";"BCS-Sa";2006;2;1;"4";"190";550;57400;2.5;4;2.5
41444;"BW-Sb";"BCS-Sb";2006;2;1;"4";"230";590;NA;2.59469556408371;4;NA
41445;"BW-W";"BCS-W";2006;1;2;"3";"250";250;52800;2.3;3.5;2.3
41446;"BW-W";"BCS-W";2006;2;1;"3";"250";610;67000;3;3.5;3
41451;"BW-Pb";"BCS-Pb";2007;3;1;"4";"80";800;75400;3.1;3.5;3.1
41451;"BW-L";"BCS-L";2007;3;1;"4";"160";880;65500;2.8;3.5;2.8
41451;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;64200;2.3;3.5;2.3
41456;"BW-Pb";"BCS-Pb";2007;3;1;"4";"80";800;64000;2.9;3.5;2.9
41456;"BW-L";"BCS-L";2007;3;1;"4";"160";880;63100;2.8;3.5;2.8
41456;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;55600;2.6;3.5;2.6
41461;"BW-W";"BCS-W";2006;2;1;"3";"250";610;60700;2.5;3.5;2.5
41464;"BW-Sa";"BCS-Sa";2006;2;1;"4";"190";550;63100;2.3;3.5;2.3
41464;"BW-Sb";"BCS-Sb";2006;2;1;"4";"230";590;NA;2.25548534264939;3.5;NA
41466;"BW-W";"BCS-W";2006;1;2;"4";"250";250;46700;2.7;3.5;2.7
41470;"BW-Sa";"BCS-Sa";2006;2;1;"4";"190";550;65100;2.7;3.5;2.7
41470;"BW-Sb";"BCS-Sb";2006;2;1;"4";"230";590;NA;2.71986009483497;3.5;NA
41472;"BW-Pb";"BCS-Pb";2008;3;2;"1";"80";800;72900;2.5;3.5;2.5
41472;"BW-L";"BCS-L";2008;3;2;"1";"160";880;74900;2.5;3.5;2.5
41472;"BW-Sa";"BCS-Sa";2008;3;2;"1";"190";910;70000;2.5;3.5;2.5
41473;"BW-Sa";"BCS-Sa";2006;2;1;"3";"190";550;58300;2.5;3.5;2.5
41473;"BW-Sb";"BCS-Sb";2006;2;1;"3";"230";590;NA;2.4799776517715;3.5;NA
41481;"BW-Pb";"BCS-Pb";2007;3;1;"1";"80";800;73000;3.2;3.5;3.2
41481;"BW-L";"BCS-L";2007;3;1;"1";"160";880;75700;3.2;3.5;3.2
41481;"BW-Sa";"BCS-Sa";2007;3;1;"1";"190";910;74500;3.1;3.5;3.1
41485;"BW-Sa";"BCS-Sa";2007;2;2;"3";"190";550;57700;2.4;3.5;2.4
41485;"BW-Sb";"BCS-Sb";2007;2;2;"3";"230";590;55300;2.49909594541861;3.5;NA
41488;"BW-Pb";"BCS-Pb";2007;3;1;"3";"80";800;73300;3;4;3
41488;"BW-L";"BCS-L";2007;3;1;"3";"160";880;68400;2.8;4;2.8
41488;"BW-Sa";"BCS-Sa";2007;3;1;"3";"190";910;68600;2.4;4;2.4
41491;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;76300;2.7;3.5;2.7
41491;"BW-Sb";"BCS-Sb";2007;3;1;"4";"230";950;71500;2.41657494980463;3.5;NA
41496;"BW-Sa";"BCS-Sa";2006;2;1;"2";"190";550;61700;2.5;3.5;2.5
41496;"BW-Sb";"BCS-Sb";2006;2;1;"2";"230";590;NA;2.49809743417892;3.5;NA
41500;"BW-Sa";"BCS-Sa";2006;2;1;"2";"190";550;65500;2.4;4;2.4
41500;"BW-Sb";"BCS-Sb";2006;2;1;"2";"230";590;NA;2.4679938662175;4;NA
41501;"BW-Pb";"BCS-Pb";2007;3;1;"3";"80";800;68400;2.8;3.5;2.8
41501;"BW-L";"BCS-L";2007;3;1;"3";"160";880;68900;2.7;3.5;2.7
41501;"BW-Sa";"BCS-Sa";2007;3;1;"3";"190";910;63200;2.5;3.5;2.5
41502;"BW-Sa";"BCS-Sa";2007;3;1;"3";"190";910;89400;2.98165156981603;3.5;NA
41502;"BW-Sb";"BCS-Sb";2007;3;1;"3";"230";950;NA;2.4661981593494;3.5;NA
41506;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;64500;2.5;3.5;2.5
41506;"BW-Sb";"BCS-Sb";2007;3;1;"4";"230";950;64700;2.53925768388508;3.5;NA
41512;"BW-W";"BCS-W";2006;2;1;"2";"250";610;64700;2.6;3.5;2.6
41513;"BW-Pb";"BCS-Pb";2008;3;2;"3";"80";800;70100;3;4;3
41513;"BW-L";"BCS-L";2008;3;2;"3";"160";880;63800;2.5;4;2.5
41513;"BW-Sa";"BCS-Sa";2008;3;2;"3";"190";910;59100;2.4;4;2.4
41514;"BW-W";"BCS-W";2005;1;1;"1";"250";250;51300;2.3;3.5;2.3
41516;"BW-Sa";"BCS-Sa";2006;2;1;"4";"190";550;62500;2.5;4;2.5
41516;"BW-Sb";"BCS-Sb";2006;2;1;"4";"230";590;NA;2.57948997983111;4;NA
41525;"BW-Sa";"BCS-Sa";2006;2;1;"4";"190";550;77800;3.1;4;3.1
41525;"BW-Sb";"BCS-Sb";2006;2;1;"4";"230";590;NA;3.2526897356254;4;NA
41526;"BW-W";"BCS-W";2006;1;2;"2";"250";250;49400;2.5;3.5;2.5
41529;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;59100;2.3;3.5;2.3
41529;"BW-Sb";"BCS-Sb";2007;3;1;"4";"230";950;61100;2.29734815406401;3.5;NA
41532;"BW-W";"BCS-W";2006;2;1;"4";"250";610;61100;2.9;4;2.9
41539;"BW-W";"BCS-W";2006;1;2;"1";"250";250;58500;2.7;3.5;2.7
41540;"BW-W";"BCS-W";2006;1;2;"3";"250";250;53500;2.5;3.5;2.5
41543;"BW-Sa";"BCS-Sa";2007;3;1;"1";"190";910;82200;3;3.5;3
41543;"BW-Sb";"BCS-Sb";2007;3;1;"1";"230";950;77500;2.82180092755279;3.5;NA
41545;"BW-Pb";"BCS-Pb";2007;3;1;"4";"80";800;71500;3;3.5;3
41545;"BW-L";"BCS-L";2007;3;1;"4";"160";880;55200;2.8;3.5;2.8
41545;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;57300;2.3;3.5;2.3
41550;"BW-Pb";"BCS-Pb";2008;3;2;"2";"80";800;62600;2.5;3.5;2.5
41550;"BW-L";"BCS-L";2008;3;2;"2";"160";880;49000;2.3;3.5;2.3
41550;"BW-Sa";"BCS-Sa";2008;3;2;"2";"190";910;54100;2.3;3.5;2.3
41552;"BW-W";"BCS-W";2006;1;2;"1";"250";250;61700;3;3.5;3
41560;"BW-Pb";"BCS-Pb";2008;3;2;"3";"80";800;73200;3.3;4;3.3
41560;"BW-L";"BCS-L";2008;3;2;"3";"160";880;71500;3.2;4;3.2
41560;"BW-Sa";"BCS-Sa";2008;3;2;"3";"190";910;64600;2.9;4;2.9
