"ID","ID2","ID3","kb1","kb2","kb3","kp1","kp2","kp3"
21004,21004,21004,0.00283878141371768,0.0031817514020476,0.00345411203056155,0.00609949230707941,0.00652972788522437,0.00628848469977608
21007,21007,21007,0.00477419485477268,0.00431316244952707,0.00391735344919456,0.00464787886204243,0.00257914346303274,0.0041115275757339
21009,21009,21009,0.00257985384196319,0.0039581857449461,0.00139823796373248,0.00564852312810691,0.00613682181371017,0.00583384997595908
21010,21010,21010,0.00206305439105419,NA,NA,0.00398082404112012,NA,NA
21011,21011,21011,0.00260750120746332,0.00260471343674573,NA,0.00302066029602185,0.00300330354097156,NA
21013,21013,21013,0.00324483640867679,0.00277917502339784,NA,0.00358099080247206,0.00341980270784226,NA
21019,21019,21019,0.00332613367438001,0.00287935675821533,0.00219102767898321,0.00488225270487117,0.00641280596152492,0.00628737884668668
21026,21026,21026,0.0035200059295262,0.00419540112773481,0.00271178687124883,0.00473139665530505,0.00595148253585042,0.00515411296772178
21034,21034,21034,0.00172852735690131,0.00273379596366128,0.00433851136481719,0.0048209476967269,0.00509902231633658,0.00488824624982967
21036,21036,21036,0.00460125765807678,0.00430251264820888,0.00261242583592722,0.00488184330025938,0.00255066902688823,0.00351344099004287
21040,21040,21040,0.00245716673209755,0.00250572424193648,0.00417511815307747,0.00535943288204201,0.0069942074307732,0.00779873150924195
21059,21059,21059,0.00264092893435949,0.00358839033549615,0.00368656949044122,0.00701579415265591,0.00721161454417454,0.00690896924601098
21061,21061,21061,0.00302390447586868,0.0032371847427217,NA,0.0055199308870395,0.00381903672060882,NA
21069,21069,21069,0.00427961200901114,NA,0.00463987763640378,0.00417349580668323,NA,0.00283403169634271
21072,21072,21072,NA,0.00301928611803321,0.00167709686191306,NA,0.00289386937188276,0.00402159453082956
21077,21077,21077,0.00199993231898645,NA,NA,0.00303373898525628,NA,NA
21081,21081,21081,0.00307625059427442,0.00412207201249586,0.00258769293474398,0.00773264467734938,0.00599098967237917,0.00458594594345653
21092,21092,21092,0.00202561233974643,NA,NA,0.00408488493462675,NA,NA
21094,21094,21094,0.00386431729885816,0.00317420515124362,0.00393054036119988,0.00676703063995013,0.00644070831444156,0.00565286473252551
21099,21099,21099,0.00411161349954238,0.00220023925809628,NA,0.0049120493498246,0.00480449231341182,NA
21102,21102,21102,0.002,NA,NA,0.003,NA,NA
21103,21103,21103,0.00344073407225549,0.00471876305920535,0.00296959475516448,0.00528033981290396,0.007562729560691,0.00541082868303824
21104,21104,21104,0.00199947647422857,NA,NA,0.00326097759705883,NA,NA
21106,21106,21106,0.00403337972632573,NA,NA,0.00385007631637996,NA,NA
21107,21107,21107,0.00268699512493258,0.00297518793140035,0.00497985563962834,0.0052104047326303,0.00579127507542492,0.00382847472957886
21113,21113,21113,0.00330407073083072,0.00367028081921213,0.00291355507912357,0.00639940166939288,0.00607664018414313,0.00546525211427699
21114,21114,21114,0.00359917770610275,0.00182437392531738,NA,0.00314414339298015,0.00392021506880232,NA
21121,21121,21121,0.00275050618146053,0.00369507554211625,0.00185970582605074,0.00391100463636148,0.00319796328342643,0.00344369407553551
21124,21124,21124,0.00306628633432616,0.00253263360222537,0.00435922927870929,0.00553409909671315,0.0060108794457768,0.00559695522808537
21126,21126,21126,0.00330343984051934,0.00353650009390809,0.00234385457675023,0.00466582637602534,0.00500733431053449,0.00376693248872689
21132,21132,21132,0.00139437641599851,NA,NA,0.00382914630774442,NA,NA
21133,21133,21133,0.00444509592796728,0.00274754482051116,NA,0.00679572598553675,0.0048007176568077,NA
21135,21135,21135,0.00561572039080737,0.00571395882471425,0.0024021035434281,0.00529887177620435,0.0068138585206485,0.00540347973326817
21136,21136,21136,0,NA,NA,0.0044125628387529,NA,NA
21137,21137,21137,0.00345150897112902,0.00542444760956227,0.00360229422264729,0.00998855451787432,0.00728501110279477,0.0050708632682158
21139,21139,21139,0.00328113597520834,0.00227955092426851,NA,0.00452894141855153,0.0044375960966492,NA
21140,21140,21140,0.00218862534489513,0.00194916314982856,NA,0.00346225022926361,0.00352764416389384,NA
21141,21141,21141,0.00336169852870182,0.00487594163060515,0.0011982730732084,0.00583372721453536,0.00248197990633082,0.00460644874490054
21144,21144,21144,0.00175254046674285,NA,NA,0.00401342743727475,NA,NA
21145,21145,21145,NA,0.00192469374928112,NA,NA,0.00684800216097158,NA
21158,21158,21158,0.00321623275662123,0.00408078914713019,0.00269172945259188,0.00662873504343723,0.00528472875227066,0.00538539380166032
21159,21159,21159,0.00319298608499561,0.00348411673342849,0.00385247304879522,0.00568179723107445,0.00548118686891064,0.00313471354542756
21170,21170,21170,NA,0.00398999532003769,NA,NA,0.00467743310710238,NA
21173,21173,21173,0.00377080693369811,0.00310657870364543,NA,0.00438674542583096,0.00374112649556321,NA
21180,21180,21180,0.00363073402755587,0.00418826616676398,0.00317034003288098,0.00509514164102069,0.00548019813087762,0.00540633125338649
21183,21183,21183,0.00207427644461411,0.00279942316288569,0.00301849218175814,0.00638292233452931,0.00672388902201017,0.0062939719035395
21189,21189,21189,0.00349765322222406,0.00224871395858704,NA,0.00379179272986275,0.00396806598971133,NA
21191,21191,21191,0.00338609883423749,0.00287482823567705,0.00289405281221801,0.00439773437850087,0.00557270366492662,0.00439876556346962
21193,21193,21193,0.00290634742159364,0.00240143008188873,0.0086126789018892,0.00599196603075178,0.00549715610099948,0.00485458782345972
21194,21194,21194,0.00237269602683929,0.00226839306563443,NA,0.0030227026887369,0.00306800024192888,NA
21200,21200,21200,0.0031269510939193,0.00306898666711909,0.00331438731502552,0.00634993375799247,0.00685074492453828,0.00662517524491186
21202,21202,21202,0.002006260612253,NA,NA,0.00367717488031343,NA,NA
21205,21205,21205,0.0029194283731771,NA,NA,0.00302453008012328,NA,NA
21207,21207,21207,0.00279218977966488,0.00354666675536289,0.00296401495310312,0.00478860964954649,0.00693610013317803,0.0040208046715682
21210,21210,21210,0.00384272503661154,0.00294041675847032,NA,0.00709036846403236,0.00571455850049105,NA
21212,21212,21212,0.00546602145360871,0.00212981979293043,NA,0.00633758575204509,0.00465170229513526,NA
21215,21215,21215,0.00344702352564939,0.00219316938635369,NA,0.00439767772079822,0.00424896089789029,NA
21216,21216,21216,0.00203040369149387,NA,NA,0.00441050442716956,NA,NA
21219,21219,21219,0.00250118752049161,0.00277669906204921,0.00591632889462326,0.00537180751872556,0.00580629420083127,0.00504842080618378
21220,21220,21220,0.00261911972687944,0.0032909730796332,0.00317463515561347,0.00637592563777049,0.00596028925717275,0.0057015225144638
21224,21224,21224,0.0025415455386374,NA,0.00243212790377825,0.0042072237727,NA,0.0035331098526913
21225,21225,21225,0.00405591593376304,0.0017535603676513,NA,0.00598221946776584,0.00427859953093599,NA
21226,21226,21226,0.00373140757583573,0.00342601942796782,0.00295138496153698,0.00641402329424597,0.00515262814987287,0.00524034796769977
21228,21228,21228,0.00200883625013474,NA,NA,0.00307370835802708,NA,NA
21238,21238,21238,0.00473091165499329,0.00440535536716262,NA,0.00280394750709387,0.00348694455942025,NA
21240,21240,21240,0.00261643868457263,0.00372405753011426,NA,0.00429260213998038,0.00313039836696633,NA
