"ID","kb1","kb2","kb3","kp1","kp2","kp3","tb1","tb2","tb3","te1","te2","te3","res","Group","BCSm"
21004,0.00283878141371768,0.0031817514020476,0.00345411203056155,0.00609949230707941,0.00652972788522437,0.00628848469977608,0,412,728,248,549,899,0.584023221715225,"G123",3.5
21007,0.00477419485477268,0.00431316244952707,0.00391735344919456,0.00464787886204243,0.00257914346303274,0.0041115275757339,30,481,776,315,641,930,0.592728540242551,"G123",3.5
21009,0.00257985384196319,0.0039581857449461,0.00139823796373248,0.00564852312810691,0.00613682181371017,0.00583384997595908,5,446,727,318,558,923,0.743641163851139,"G123",4
21010,0.00206305439105419,NA,NA,0.00398082404112012,NA,NA,20,NA,NA,248,NA,NA,0.300795437675182,"G1",3.5
21011,0.00260750120746332,0.00260471343674573,NA,0.00302066029602185,0.00300330354097156,NA,75,436,NA,277,602,NA,0.305895412704376,"G12",3.5
21013,0.00324483640867679,0.00277917502339784,NA,0.00358099080247206,0.00341980270784226,NA,0,403,NA,218,574,NA,0.476179825022024,"G12",3.5
21019,0.00332613367438001,0.00287935675821533,0.00219102767898321,0.00488225270487117,0.00641280596152492,0.00628737884668668,0,400,814,247,548,951,0.739062359585462,"G123",3.5
21026,0.0035200059295262,0.00419540112773481,0.00271178687124883,0.00473139665530505,0.00595148253585042,0.00515411296772178,28,441,727,275,555,916,0.705366347841352,"G123",3.5
21034,0.00172852735690131,0.00273379596366128,0.00433851136481719,0.0048209476967269,0.00509902231633658,0.00488824624982967,23,450,778,195,539,941,0.619912884070045,"G123",3.5
21036,0.00460125765807678,0.00430251264820888,0.00261242583592722,0.00488184330025938,0.00255066902688823,0.00351344099004287,16,401,728,253,660,970,0.49966550203151,"G123",3.5
21040,0.00245716673209755,0.00250572424193648,0.00417511815307747,0.00535943288204201,0.0069942074307732,0.00779873150924195,0,449,783,201,577,970,0.886757325477548,"G123",3.5
21059,0.00264092893435949,0.00358839033549615,0.00368656949044122,0.00701579415265591,0.00721161454417454,0.00690896924601098,27,440,776,199,557,970,0.752505791500002,"G123",3.5
21061,0.00302390447586868,0.0032371847427217,NA,0.0055199308870395,0.00381903672060882,NA,83,374,NA,215,521,NA,0.485752884861177,"G12",3.5
21069,0.00427961200901114,NA,0.00463987763640378,0.00417349580668323,NA,0.00283403169634271,14,NA,788,312,NA,902,0.245995095413013,"G13",3.5
21072,NA,0.00301928611803321,0.00167709686191306,NA,0.00289386937188276,0.00402159453082956,NA,428,819,NA,546,956,0.385781131796133,"G23",3.5
21077,0.00199993231898645,NA,NA,0.00303373898525628,NA,NA,0,NA,NA,172,NA,NA,0.169644180260156,"G1",3.5
21081,0.00307625059427442,0.00412207201249586,0.00258769293474398,0.00773264467734938,0.00599098967237917,0.00458594594345653,0,454,800,181,604,989,0.787781533179844,"G123",3.5
21092,0.00202561233974643,NA,NA,0.00408488493462675,NA,NA,15,NA,NA,192,NA,NA,0.211585791351806,"G1",3.5
21094,0.00386431729885816,0.00317420515124362,0.00393054036119988,0.00676703063995013,0.00644070831444156,0.00565286473252551,20,391,754,250,575,970,0.654776656351937,"G123",3.5
